Location,Year,Number,Population,Rate
Dallas Plt,2015,0,298,0.0
Dallas Plt,2016,0,301,0.0
Dallas Plt,2017,0,301,0.0
Dallas Plt,2018,0,301,0.0
Danforth,2009,0,585,0.0
Danforth,2011,0,602,0.0
Danforth,2012,0,592,0.0
Danforth,2013,0,592,0.0
Danforth,2014,0,580,0.0
Danforth,2015,0,577,0.0
Danforth,2016,0,560,0.0
Danforth,2017,0,560,0.0
Danforth,2018,0,560,0.0
Deblois,2009,0,52,0.0
Deblois,2011,0,57,0.0
Deblois,2012,0,58,0.0
Deblois,2013,0,57,0.0
Deblois,2014,0,57,0.0
Deblois,2015,0,57,0.0
Deblois,2016,0,55,0.0
Deblois,2017,0,55,0.0
Deblois,2018,0,55,0.0
Dedham,2008,0,"1,465",0.0
Dedham,2009,0,"1,604",0.0
Dedham,2012,0,"1,686",0.0
Dedham,2015,0,"1,709",0.0
Deer Isle,2008,0,"1,884",0.0
Deer Isle,2010,0,"1,975",0.0
Denmark,2010,0,"1,148",0.0
Denmark,2016,0,"1,160",0.0
Denmark,2018,0,"1,160",0.0
Dennysville,2009,0,330,0.0
Dennysville,2011,0,337,0.0
Dennysville,2012,0,333,0.0
Dennysville,2013,0,323,0.0
Dennysville,2014,0,318,0.0
Dennysville,2015,0,319,0.0
Dennysville,2016,0,315,0.0
Dennysville,2017,0,315,0.0
Dennysville,2018,0,315,0.0
Detroit,2008,0,809,0.0
Detroit,2009,0,839,0.0
Detroit,2010,0,852,0.0
Detroit,2011,0,839,0.0
Detroit,2012,0,845,0.0
Detroit,2014,0,842,0.0
Detroit,2015,0,829,0.0
Dexter,2010,0,"3,895",0.0
Dexter,2011,0,"3,886",0.0
Dexter,2012,0,"3,876",0.0
Dexter,2014,0,"3,831",0.0
Dexter,2015,0,"3,800",0.0
Dixfield,2008,0,"2,582",0.0
Dixfield,2009,0,"2,592",0.0
Dixfield,2012,0,"2,481",0.0
Dixfield,2013,0,"2,484",0.0
Dixfield,2014,0,"2,463",0.0
Dixfield,2018,0,"2,454",0.0
Dixmont,2008,0,"1,192",0.0
Dixmont,2010,0,"1,181",0.0
Dixmont,2012,0,"1,176",0.0
Dover-Foxcroft,2016,0,"3,998",0.0
Dover-Foxcroft,2017,0,"3,998",0.0
Drew Plt,2008,0,57,0.0
Dyer Brook,2014,0,212,0.0
Dyer Brook,2016,0,210,0.0
Dyer Brook,2017,0,210,0.0
Dyer Brook,2018,0,210,0.0
Eagle Lake,2014,0,826,0.0
Eagle Lake,2016,0,784,0.0
Eagle Lake,2017,0,784,0.0
Eagle Lake,2018,0,784,0.0
East Central Franklin,2008,0,719,0.0
East Central Franklin,2009,0,781,0.0
East Central Franklin,2010,0,808,0.0
East Central Franklin,2011,0,818,0.0
East Central Franklin,2012,0,811,0.0
East Central Franklin,2013,0,804,0.0
East Central Franklin,2014,0,812,0.0
East Central Franklin,2015,0,795,0.0
East Central Franklin,2016,0,794,0.0
East Central Franklin,2017,0,794,0.0
East Central Franklin,2018,0,794,0.0
East Central Penobscot,2008,0,335,0.0
East Central Penobscot,2010,0,343,0.0
East Central Penobscot,2011,0,365,0.0
East Central Penobscot,2012,0,360,0.0
East Central Penobscot,2013,0,352,0.0
East Central Penobscot,2014,0,356,0.0
East Central Penobscot,2015,0,350,0.0
East Central Penobscot,2016,0,347,0.0
East Central Penobscot,2017,0,347,0.0
East Central Penobscot,2018,0,347,0.0
East Central Washington,2009,0,716,0.0
East Central Washington,2011,0,726,0.0
East Central Washington,2012,0,724,0.0
East Central Washington,2013,0,721,0.0
East Central Washington,2014,0,726,0.0
East Central Washington,2015,0,702,0.0
East Central Washington,2016,0,707,0.0
East Central Washington,2017,0,707,0.0
East Central Washington,2018,0,707,0.0
East Hancock,2008,0,73,0.0
East Hancock,2009,0,86,0.0
East Hancock,2010,0,94,0.0
East Hancock,2011,0,96,0.0
East Hancock,2012,0,95,0.0
East Hancock,2013,0,97,0.0
East Hancock,2014,0,97,0.0
East Hancock,2015,0,96,0.0
East Hancock,2016,0,98,0.0
East Hancock,2017,0,98,0.0
East Hancock,2018,0,98,0.0
East Millinocket,2008,0,"1,727",0.0
East Millinocket,2012,0,"1,718",0.0
East Millinocket,2013,0,"1,688",0.0
East Millinocket,2014,0,"1,694",0.0
East Millinocket,2015,0,"1,666",0.0
East Millinocket,2016,0,"1,648",0.0
East Millinocket,2018,0,"1,648",0.0
Eastbrook,2008,0,395,0.0
Eastbrook,2009,0,415,0.0
Eastbrook,2010,0,423,0.0
Eastbrook,2011,0,429,0.0
Eastbrook,2012,0,430,0.0
Eastbrook,2013,0,428,0.0
Eastbrook,2014,0,436,0.0
Eastbrook,2015,0,434,0.0
Eastbrook,2016,0,436,0.0
Eastbrook,2017,0,436,0.0
Eastbrook,2018,0,436,0.0
Easton,2014,0,"1,252",0.0
Easton,2016,0,"1,253",0.0
Easton,2017,0,"1,253",0.0
Easton,2018,0,"1,253",0.0
Eastport,2009,0,"1,400",0.0
Eastport,2011,0,"1,311",0.0
Eastport,2012,0,"1,302",0.0
Eastport,2013,0,"1,285",0.0
Eastport,2014,0,"1,244",0.0
Eastport,2015,0,"1,236",0.0
Eastport,2016,0,"1,222",0.0
Eastport,2018,0,"1,222",0.0
Eddington,2008,0,"2,149",0.0
Eddington,2010,0,"2,225",0.0
Eddington,2014,0,"2,211",0.0
Edinburg,2008,0,102,0.0
Edinburg,2010,0,131,0.0
Edinburg,2011,0,135,0.0
Edinburg,2012,0,133,0.0
Edinburg,2013,0,131,0.0
Edinburg,2014,0,133,0.0
Edinburg,2015,0,128,0.0
Edinburg,2016,0,127,0.0
Edinburg,2017,0,127,0.0
Edinburg,2018,0,127,0.0
Ellsworth,2008,0,"7,015",0.0
Ellsworth,2011,0,"7,704",0.0
Embden,2008,0,"1,014",0.0
Embden,2009,0,977,0.0
Embden,2010,0,939,0.0
Embden,2012,0,946,0.0
Embden,2013,0,912,0.0
Embden,2014,0,912,0.0
Embden,2015,0,918,0.0
Enfield,2008,0,"1,601",0.0
Enfield,2010,0,"1,607",0.0
Enfield,2011,0,"1,642",0.0
Enfield,2012,0,"1,626",0.0
Enfield,2013,0,"1,622",0.0
Enfield,2014,0,"1,616",0.0
Enfield,2015,0,"1,590",0.0
Enfield,2016,0,"1,515",0.0
Enfield,2017,0,"1,515",0.0
Etna,2010,0,"1,246",0.0
Etna,2011,0,"1,233",0.0
Etna,2012,0,"1,242",0.0
Etna,2013,0,"1,253",0.0
Etna,2014,0,"1,266",0.0
Etna,2015,0,"1,264",0.0
Eustis,2008,0,726,0.0
Eustis,2009,0,674,0.0
Eustis,2010,0,618,0.0
Eustis,2011,0,620,0.0
Eustis,2012,0,621,0.0
Eustis,2014,0,631,0.0
Eustis,2015,0,617,0.0
Eustis,2016,0,616,0.0
Eustis,2018,0,616,0.0
Exeter,2008,0,"1,073",0.0
Exeter,2010,0,"1,092",0.0
Exeter,2011,0,"1,099",0.0
Exeter,2012,0,"1,091",0.0
Exeter,2013,0,"1,085",0.0
Exeter,2015,0,"1,078",0.0
Exeter,2016,0,"1,071",0.0
Farmington,2016,0,"7,415",0.0
Fayette,2008,0,"1,155",0.0
Fayette,2010,0,"1,140",0.0
Fayette,2012,0,"1,142",0.0
Fayette,2014,0,"1,124",0.0
Fayette,2015,0,"1,115",0.0
Fletchers Landing Twp,2008,0,136,0.0
Fletchers Landing Twp,2009,0,126,0.0
Fletchers Landing Twp,2010,0,117,0.0
Fletchers Landing Twp,2011,0,119,0.0
Fletchers Landing Twp,2012,0,119,0.0
Fletchers Landing Twp,2013,0,122,0.0
Fletchers Landing Twp,2014,0,122,0.0
Fletchers Landing Twp,2015,0,121,0.0
Fletchers Landing Twp,2016,0,121,0.0
Fletchers Landing Twp,2017,0,121,0.0
Fletchers Landing Twp,2018,0,121,0.0
Fort Fairfield,2014,0,"3,376",0.0
Fort Fairfield,2016,0,"3,332",0.0
Fort Fairfield,2017,0,"3,332",0.0
Fort Fairfield,2018,0,"3,332",0.0
Fort Kent,2014,0,"3,928",0.0
Fort Kent,2016,0,"3,885",0.0
Fort Kent,2017,0,"3,885",0.0
Frankfort,2008,0,"1,041",0.0
Frankfort,2009,0,"1,092",0.0
Frankfort,2011,0,"1,116",0.0
Frankfort,2012,0,"1,126",0.0
Frankfort,2013,0,"1,136",0.0
Frankfort,2016,0,"1,157",0.0
Frankfort,2017,0,"1,157",0.0
Frankfort,2018,0,"1,157",0.0
Franklin,2008,0,"1,452",0.0
Franklin,2010,0,"1,483",0.0
Franklin,2012,0,"1,493",0.0
Franklin,2013,0,"1,491",0.0
Franklin,2015,0,"1,503",0.0
Franklin,2017,0,"1,495",0.0
Freedom,2008,0,682,0.0
Freedom,2010,0,719,0.0
Freedom,2012,0,720,0.0
Freedom,2014,0,719,0.0
Freedom,2015,0,728,0.0
Frenchboro,2010,0,61,0.0
Frenchboro,2011,0,64,0.0
Frenchboro,2012,0,64,0.0
Frenchboro,2013,0,65,0.0
Frenchboro,2014,0,65,0.0
Frenchboro,2015,0,65,0.0
Frenchboro,2016,0,68,0.0
Frenchboro,2017,0,68,0.0
Frenchboro,2018,0,68,0.0
Frenchville,2016,0,996,0.0
Frenchville,2017,0,996,0.0
Frenchville,2018,0,996,0.0
Friendship,2008,0,"1,197",0.0
Friendship,2009,0,"1,162",0.0
Friendship,2010,0,"1,152",0.0
Friendship,2011,0,"1,157",0.0
Fryeburg,2008,0,"3,190",0.0
Fryeburg,2012,0,"3,433",0.0
Garfield Plt,2014,0,82,0.0
Garfield Plt,2016,0,78,0.0
Garfield Plt,2017,0,78,0.0
Garfield Plt,2018,0,78,0.0
Garland,2008,0,"1,071",0.0
Garland,2010,0,"1,105",0.0
Garland,2012,0,"1,097",0.0
Garland,2013,0,"1,087",0.0
Garland,2014,0,"1,083",0.0
Garland,2015,0,"1,080",0.0
Gilead,2008,0,175,0.0
Gilead,2009,0,196,0.0
Gilead,2010,0,209,0.0
Gilead,2011,0,213,0.0
Gilead,2012,0,211,0.0
Gilead,2013,0,214,0.0
Gilead,2014,0,213,0.0
Gilead,2015,0,212,0.0
Gilead,2016,0,214,0.0
Gilead,2017,0,214,0.0
Gilead,2018,0,214,0.0
Glenburn,2008,0,"4,526",0.0
Glenburn,2010,0,"4,594",0.0
Glenburn,2011,0,"4,642",0.0
Glenburn,2013,0,"4,768",0.0
Glenburn,2014,0,"4,646",0.0
Gouldsboro,2008,0,"1,996",0.0
Gouldsboro,2010,0,"1,737",0.0
Gouldsboro,2012,0,"1,738",0.0
Grand Isle,2014,0,445,0.0
Grand Isle,2016,0,431,0.0
Grand Isle,2017,0,431,0.0
Grand Isle,2018,0,431,0.0
Grand Lake Stream Plt,2009,0,119,0.0
Grand Lake Stream Plt,2011,0,108,0.0
Grand Lake Stream Plt,2012,0,105,0.0
Grand Lake Stream Plt,2013,0,106,0.0
Grand Lake Stream Plt,2014,0,103,0.0
Grand Lake Stream Plt,2015,0,103,0.0
Grand Lake Stream Plt,2016,0,100,0.0
Grand Lake Stream Plt,2017,0,100,0.0
Grand Lake Stream Plt,2018,0,100,0.0
Great Pond,2009,0,52,0.0
Great Pond,2010,0,58,0.0
Great Pond,2011,0,59,0.0
Great Pond,2012,0,59,0.0
Great Pond,2013,0,60,0.0
Great Pond,2014,0,61,0.0
Great Pond,2015,0,61,0.0
Great Pond,2016,0,61,0.0
Great Pond,2017,0,61,0.0
Great Pond,2018,0,61,0.0
Greenbush,2008,0,"1,459",0.0
Greenbush,2010,0,"1,491",0.0
Greenbush,2011,0,"1,532",0.0
Greenbush,2012,0,"1,520",0.0
Greenbush,2013,0,"1,510",0.0
Greenbush,2014,0,"1,540",0.0
Greenbush,2018,0,"1,516",0.0
Greenville,2017,0,"1,560",0.0
Greenville,2018,0,"1,560",0.0
Greenwood,2008,0,862,0.0
Greenwood,2009,0,853,0.0
Greenwood,2011,0,833,0.0
Greenwood,2012,0,837,0.0
Greenwood,2013,0,838,0.0
Greenwood,2014,0,850,0.0
Greenwood,2015,0,843,0.0
Greenwood,2017,0,847,0.0
Greenwood,2018,0,847,0.0
Guilford,2016,0,"1,460",0.0
Guilford,2018,0,"1,460",0.0
Hamlin,2014,0,215,0.0
Hamlin,2016,0,204,0.0
Hamlin,2017,0,204,0.0
Hamlin,2018,0,204,0.0
Hammond,2014,0,114,0.0
Hammond,2016,0,113,0.0
Hammond,2017,0,113,0.0
Hammond,2018,0,113,0.0
Hampden,2010,0,"7,257",0.0
Hampden,2011,0,"7,232",0.0
Hancock,2008,0,"2,296",0.0
Hancock,2009,0,"2,375",0.0
Hancock,2010,0,"2,394",0.0
Hancock,2011,0,"2,410",0.0
Hancock,2012,0,"2,410",0.0
Hancock,2013,0,"2,422",0.0
Hanover,2008,0,305,0.0
Hanover,2010,0,238,0.0
Hanover,2011,0,236,0.0
Hanover,2012,0,235,0.0
Hanover,2013,0,233,0.0
Hanover,2014,0,236,0.0
Hanover,2015,0,233,0.0
Hanover,2016,0,232,0.0
Hanover,2017,0,232,0.0
Hanover,2018,0,232,0.0
Harmony,2008,0,931,0.0
Harmony,2009,0,942,0.0
Harmony,2010,0,939,0.0
Harmony,2012,0,925,0.0
Harmony,2015,0,891,0.0
Harmony,2016,0,879,0.0
Harmony,2018,0,879,0.0
Harrington,2009,0,969,0.0
Harrington,2012,0,997,0.0
Harrington,2013,0,994,0.0
Harrington,2014,0,982,0.0
Harrington,2015,0,"1,002",0.0
Harrington,2018,0,975,0.0
Harrison,2008,0,"2,499",0.0
Harrison,2011,0,"2,750",0.0
Hartford,2010,0,"1,185",0.0
Hartford,2011,0,"1,194",0.0
Hartford,2013,0,"1,195",0.0
Hartford,2016,0,"1,202",0.0
Hartland,2008,0,"1,875",0.0
Hartland,2009,0,"1,833",0.0
Hartland,2010,0,"1,782",0.0
Hartland,2011,0,"1,774",0.0
Hartland,2012,0,"1,768",0.0
Hartland,2013,0,"1,763",0.0
Hartland,2016,0,"1,734",0.0
Haynesville,2014,0,113,0.0
Haynesville,2016,0,107,0.0
Haynesville,2017,0,107,0.0
Haynesville,2018,0,107,0.0
Hebron,2009,0,"1,392",0.0
Hebron,2010,0,"1,416",0.0
Hebron,2011,0,"1,431",0.0
Hebron,2012,0,"1,421",0.0
Hebron,2014,0,"1,429",0.0
Hermon,2008,0,"5,094",0.0
Hermon,2010,0,"5,416",0.0
Hermon,2011,0,"5,481",0.0
Hersey,2014,0,82,0.0
Hersey,2016,0,82,0.0
Hersey,2017,0,82,0.0
Hersey,2018,0,82,0.0
Highland Plt,2008,0,50,0.0
Highland Plt,2009,0,63,0.0
Highland Plt,2010,0,73,0.0
Highland Plt,2011,0,73,0.0
Highland Plt,2012,0,74,0.0
Highland Plt,2013,0,72,0.0
Highland Plt,2014,0,71,0.0
Highland Plt,2015,0,70,0.0
Highland Plt,2016,0,69,0.0
Highland Plt,2017,0,69,0.0
Highland Plt,2018,0,69,0.0
Hiram,2010,0,"1,620",0.0
Hodgdon,2014,0,"1,304",0.0
Hodgdon,2016,0,"1,291",0.0
Hodgdon,2018,0,"1,291",0.0
Holden,2008,0,"3,061",0.0
Holden,2010,0,"3,076",0.0
Holden,2011,0,"3,063",0.0
Houlton,2016,0,"5,635",0.0
Houlton,2018,0,"5,635",0.0
Howland,2008,0,"1,284",0.0
Howland,2010,0,"1,241",0.0
Howland,2011,0,"1,267",0.0
Howland,2012,0,"1,247",0.0
Howland,2013,0,"1,228",0.0
Howland,2014,0,"1,242",0.0
Howland,2015,0,"1,216",0.0
Howland,2017,0,"1,201",0.0
Hudson,2008,0,"1,629",0.0
Hudson,2010,0,"1,536",0.0
Hudson,2011,0,"1,548",0.0
Hudson,2012,0,"1,560",0.0
Hudson,2015,0,"1,553",0.0
Hudson,2016,0,"1,552",0.0
Hudson,2017,0,"1,552",0.0
Indian Island,2008,0,582,0.0
Indian Island,2010,0,610,0.0
Indian Island,2011,0,622,0.0
Indian Island,2012,0,622,0.0
Indian Island,2013,0,645,0.0
Indian Island,2014,0,633,0.0
Indian Island,2015,0,628,0.0
Indian Island,2016,0,624,0.0
Indian Island,2017,0,624,0.0
Indian Island,2018,0,624,0.0
Indian Twp Res,2009,0,697,0.0
Indian Twp Res,2011,0,737,0.0
Indian Twp Res,2012,0,743,0.0
Indian Twp Res,2013,0,732,0.0
Indian Twp Res,2014,0,737,0.0
Indian Twp Res,2015,0,732,0.0
Indian Twp Res,2016,0,734,0.0
Indian Twp Res,2017,0,734,0.0
Indian Twp Res,2018,0,734,0.0
Industry,2008,0,784,0.0
Industry,2009,0,880,0.0
Industry,2010,0,929,0.0
Industry,2011,0,953,0.0
Industry,2013,0,925,0.0
Industry,2014,0,914,0.0
Industry,2015,0,917,0.0
Industry,2016,0,911,0.0
Industry,2018,0,911,0.0
Island Falls,2014,0,819,0.0
Island Falls,2016,0,790,0.0
Island Falls,2017,0,790,0.0
Island Falls,2018,0,790,0.0
Isle au Haut,2008,0,83,0.0
Isle au Haut,2009,0,76,0.0
Isle au Haut,2011,0,74,0.0
Isle au Haut,2012,0,73,0.0
Isle au Haut,2013,0,73,0.0
Isle au Haut,2014,0,73,0.0
Isle au Haut,2015,0,76,0.0
Isle au Haut,2017,0,74,0.0
Islesboro,2012,11-15,559,*
Islesboro,2014,11-15,552,*
Jackman,2008,0,708,0.0
Jackman,2009,0,801,0.0
Jackman,2010,0,862,0.0
Jackman,2011,0,874,0.0
Jackman,2012,0,870,0.0
Jackman,2014,0,851,0.0
Jackman,2015,0,836,0.0
Jackman,2016,0,843,0.0
Jackman,2017,0,843,0.0
Jackson,2008,0,525,0.0
Jackson,2009,0,540,0.0
Jackson,2010,0,548,0.0
Jackson,2011,0,553,0.0
Jackson,2013,0,553,0.0
Jackson,2016,0,570,0.0
Jackson,2017,0,570,0.0
Jonesboro,2009,0,609,0.0
Jonesboro,2011,0,588,0.0
Jonesboro,2012,0,579,0.0
Jonesboro,2013,0,572,0.0
Jonesboro,2014,0,564,0.0
Jonesboro,2015,0,560,0.0
Jonesboro,2016,0,533,0.0
Jonesboro,2017,0,533,0.0
Jonesboro,2018,0,533,0.0
Jonesport,2009,0,"1,413",0.0
Jonesport,2011,0,"1,369",0.0
Jonesport,2012,0,"1,357",0.0
Jonesport,2013,0,"1,335",0.0
Jonesport,2014,0,"1,310",0.0
Jonesport,2015,0,"1,339",0.0
Jonesport,2017,0,"1,357",0.0
Jonesport,2018,0,"1,357",0.0
Kenduskeag,2010,0,"1,348",0.0
Kenduskeag,2012,0,"1,354",0.0
Kenduskeag,2014,0,"1,369",0.0
Kenduskeag,2015,0,"1,359",0.0
Kenduskeag,2017,0,"1,353",0.0
Kenduskeag,2018,0,"1,353",0.0
Kingfield,2008,0,"1,150",0.0
Kingfield,2009,0,"1,078",0.0
Kingfield,2011,0,"1,002",0.0
Kingfield,2012,0,999,0.0
Kingfield,2013,0,989,0.0
Kingfield,2014,0,999,0.0
Kingfield,2016,0,987,0.0
Kingfield,2018,0,987,0.0
Kingman Twp,2008,0,199,0.0
Kingman Twp,2010,0,174,0.0
Kingman Twp,2011,0,178,0.0
Kingman Twp,2012,0,175,0.0
Kingman Twp,2013,0,170,0.0
Kingman Twp,2014,0,170,0.0
Kingman Twp,2015,0,164,0.0
Kingman Twp,2016,0,165,0.0
Kingman Twp,2017,0,165,0.0
Kingman Twp,2018,0,165,0.0
Knox,2008,0,760,0.0
Knox,2009,0,789,0.0
Knox,2012,0,812,0.0
Knox,2014,0,828,0.0
Knox,2015,0,819,0.0
Lagrange,2008,0,769,0.0
Lagrange,2010,0,708,0.0
Lagrange,2011,0,718,0.0
Lagrange,2013,0,717,0.0
Lagrange,2014,0,732,0.0
Lagrange,2015,0,705,0.0
Lagrange,2016,0,722,0.0
Lagrange,2017,0,722,0.0
Lagrange,2018,0,722,0.0
Lake View Plt,2016,0,87,0.0
Lake View Plt,2017,0,87,0.0
Lake View Plt,2018,0,87,0.0
Lakeville,2008,0,60,0.0
Lakeville,2010,0,105,0.0
Lakeville,2011,0,107,0.0
Lakeville,2012,0,105,0.0
Lakeville,2013,0,105,0.0
Lakeville,2014,0,105,0.0
Lakeville,2015,0,102,0.0
Lakeville,2016,0,99,0.0
Lakeville,2017,0,99,0.0
Lakeville,2018,0,99,0.0
Lamoine,2008,0,"1,659",0.0
Lamoine,2009,0,"1,642",0.0
Lamoine,2012,0,"1,626",0.0
Lamoine,2015,0,"1,617",0.0
Lee,2008,0,851,0.0
Lee,2010,0,922,0.0
Lee,2011,0,938,0.0
Lee,2012,0,927,0.0
Lee,2013,0,924,0.0
Lee,2014,0,930,0.0
Lee,2015,0,919,0.0
Lee,2016,0,921,0.0
Lee,2017,0,921,0.0
Lee,2018,0,921,0.0
Leeds,2008,0,"2,086",0.0
Levant,2008,0,"2,643",0.0
Levant,2010,0,"2,851",0.0
Levant,2011,0,"2,898",0.0
Levant,2012,0,"2,894",0.0
Levant,2013,0,"2,970",0.0
Levant,2014,0,"2,945",0.0
Liberty,2009,0,922,0.0
Liberty,2010,0,913,0.0
Liberty,2011,0,929,0.0
Liberty,2013,0,917,0.0
Limestone,2016,0,"2,177",0.0
Limestone,2017,0,"2,177",0.0
Limestone,2018,0,"2,177",0.0
Lincoln,2010,0,"5,085",0.0
Lincoln,2012,0,"5,139",0.0
Lincoln,2014,0,"5,091",0.0
Lincoln,2015,0,"5,030",0.0
Lincolnville,2008,0,"2,350",0.0
Lincolnville,2011,0,"2,171",0.0
Lincolnville,2016,0,"2,229",0.0
Linneus,2014,0,973,0.0
Linneus,2016,0,"1,000",0.0
Linneus,2017,0,"1,000",0.0
Linneus,2018,0,"1,000",0.0
Littleton,2014,0,"1,059",0.0
Littleton,2016,0,"1,038",0.0
Littleton,2017,0,"1,038",0.0
Littleton,2018,0,"1,038",0.0
Livermore,2009,0,"2,137",0.0
Livermore Falls,2013,0,"3,187",0.0
Livermore Falls,2014,0,"3,162",0.0
Livermore Falls,2016,0,"3,145",0.0
Long Island,2010,0,230,0.0
Long Island,2014,0,226,0.0
Lovell,2008,0,"1,049",0.0
Lovell,2009,0,"1,113",0.0
Lovell,2011,0,"1,139",0.0
Lovell,2012,0,"1,125",0.0
Lovell,2015,0,"1,103",0.0
Lovell,2016,0,"1,104",0.0
Lovell,2018,0,"1,104",0.0
Lowell,2008,0,288,0.0
Lowell,2010,0,358,0.0
Lowell,2011,0,374,0.0
Lowell,2012,0,362,0.0
Lowell,2013,0,354,0.0
Lowell,2014,0,359,0.0
Lowell,2015,0,354,0.0
Lowell,2016,0,355,0.0
Lowell,2017,0,355,0.0
Lowell,2018,0,355,0.0
Lubec,2009,0,"1,403",0.0
Lubec,2011,0,"1,330",0.0
Lubec,2012,0,"1,308",0.0
Lubec,2013,0,"1,302",0.0
Lubec,2014,0,"1,216",0.0
Lubec,2015,0,"1,266",0.0
Lubec,2016,0,"1,248",0.0
Lubec,2017,0,"1,248",0.0
Lubec,2018,0,"1,248",0.0
Ludlow,2014,0,391,0.0
Ludlow,2016,0,391,0.0
Ludlow,2017,0,391,0.0
Ludlow,2018,0,391,0.0
Machias,2011,0,"2,192",0.0
Machias,2012,0,"2,164",0.0
Machiasport,2009,0,"1,116",0.0
Machiasport,2011,0,"1,118",0.0
Machiasport,2016,0,"1,106",0.0
Macwahoc Plt,2014,0,78,0.0
Macwahoc Plt,2016,0,75,0.0
Macwahoc Plt,2017,0,75,0.0
Macwahoc Plt,2018,0,75,0.0
Madawaska,2014,0,"3,835",0.0
Madawaska,2016,0,"3,682",0.0
Madawaska,2017,0,"3,682",0.0
Madawaska,2018,0,"3,682",0.0
Madison,2009,0,"4,758",0.0
Madison,2010,0,"4,855",0.0
Madison,2011,0,"4,778",0.0
Madison,2012,0,"4,794",0.0
Madison,2015,0,"4,705",0.0
Mapleton,2014,0,"1,915",0.0
Mapleton,2016,0,"1,895",0.0
Mapleton,2017,0,"1,895",0.0
Mapleton,2018,0,"1,895",0.0
Mariaville,2008,0,517,0.0
Mariaville,2010,0,513,0.0
Mariaville,2011,0,527,0.0
Mariaville,2012,0,525,0.0
Mariaville,2013,0,531,0.0
Mariaville,2014,0,533,0.0
Mariaville,2016,0,535,0.0
Mariaville,2017,0,535,0.0
Mariaville,2018,0,535,0.0
Mars Hill,2014,0,"1,443",0.0
Mars Hill,2016,0,"1,410",0.0
Mars Hill,2017,0,"1,410",0.0
Mars Hill,2018,0,"1,410",0.0
Marshfield,2009,0,514,0.0
Marshfield,2014,0,527,0.0
Marshfield,2015,0,509,0.0
Masardis,2014,0,235,0.0
Masardis,2016,0,228,0.0
Masardis,2017,0,228,0.0
Masardis,2018,0,228,0.0
Matinicus Isle Plt,2008,0,50,0.0
Matinicus Isle Plt,2009,0,63,0.0
Matinicus Isle Plt,2010,0,74,0.0
Matinicus Isle Plt,2011,0,74,0.0
Matinicus Isle Plt,2012,0,71,0.0
Matinicus Isle Plt,2014,0,72,0.0
Matinicus Isle Plt,2015,0,71,0.0
Matinicus Isle Plt,2016,0,73,0.0
Matinicus Isle Plt,2017,0,73,0.0
Matinicus Isle Plt,2018,0,73,0.0
Mattawamkeag,2008,0,775,0.0
Mattawamkeag,2011,0,705,0.0
Mattawamkeag,2012,0,693,0.0
Mattawamkeag,2013,0,684,0.0
Mattawamkeag,2014,0,688,0.0
Mattawamkeag,2015,0,678,0.0
Mattawamkeag,2016,0,676,0.0
Mattawamkeag,2017,0,676,0.0
Mattawamkeag,2018,0,676,0.0
Maxfield,2008,0,82,0.0
Maxfield,2010,0,97,0.0
Maxfield,2011,0,99,0.0
Maxfield,2012,0,97,0.0
Maxfield,2013,0,93,0.0
Maxfield,2014,0,93,0.0
Maxfield,2015,0,89,0.0
Maxfield,2016,0,89,0.0
Maxfield,2017,0,89,0.0
Maxfield,2018,0,89,0.0
Meddybemps,2009,0,154,0.0
Meddybemps,2011,0,153,0.0
Meddybemps,2012,0,153,0.0
Meddybemps,2013,0,151,0.0
Meddybemps,2014,0,147,0.0
Meddybemps,2015,0,141,0.0
Meddybemps,2016,0,141,0.0
Meddybemps,2018,0,141,0.0
Medford,2016,0,251,0.0
Medford,2017,0,251,0.0
Medford,2018,0,251,0.0
Medway,2008,0,"1,486",0.0
Medway,2010,0,"1,349",0.0
Medway,2012,0,"1,351",0.0
Medway,2013,0,"1,336",0.0
Medway,2014,0,"1,331",0.0
Medway,2015,0,"1,312",0.0
Medway,2016,0,"1,294",0.0
Medway,2018,0,"1,294",0.0
Mercer,2008,0,647,0.0
Mercer,2009,0,661,0.0
Mercer,2010,0,664,0.0
Mercer,2011,0,674,0.0
Mercer,2012,0,671,0.0
Mercer,2013,0,667,0.0
Mercer,2016,0,661,0.0
Merrill,2014,0,263,0.0
Merrill,2016,0,260,0.0
Merrill,2017,0,260,0.0
Merrill,2018,0,260,0.0
Mexico,2008,0,"2,881",0.0
Mexico,2009,0,"2,797",0.0
Mexico,2011,0,"2,636",0.0
Mexico,2012,0,"2,622",0.0
Mexico,2013,0,"2,626",0.0
Mexico,2014,0,"2,620",0.0
Mexico,2015,0,"2,614",0.0
Mexico,2017,0,"2,606",0.0
Mexico,2018,0,"2,606",0.0
Milbridge,2009,0,"1,339",0.0
Milbridge,2011,0,"1,347",0.0
Milbridge,2013,0,"1,312",0.0
Milbridge,2018,0,"1,287",0.0
Milford,2008,0,"2,977",0.0
Milford,2010,0,"3,070",0.0
Milford,2011,0,"3,113",0.0
Milford,2012,0,"3,082",0.0
Milford,2013,0,"3,165",0.0
Milford,2014,0,"3,067",0.0
Milford,2015,0,"3,049",0.0
Milford,2017,0,"3,098",0.0
Milford,2018,0,"3,098",0.0
Millinocket,2008,0,"4,248",0.0
Millinocket,2011,0,"4,440",0.0
Millinocket,2012,0,"4,344",0.0
Millinocket,2014,0,"4,288",0.0
